"","X","Show","Aggregated","pathway","gs_number","gs_description","pval","padj","log2err","ES","NES","size","leadingEdge"
"1","1","","Adhesion","GOBP_CELL_CELL_ADHESION","GO:0098609","The attachment of one cell to another cell via adhesion molecules. [GOC:dos]","9.98335585276184e-05","0.00765429765793516","0.538434096309916","0.298801296840055","1.31297322863705","710","c(""CBLB"", ""ETS1"", ""FYN"", ""SKAP1"", ""ANK3"", ""CD2"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""CD6"", ""PTPRC"", ""LCK"", ""EMB"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""CYFIP2"", ""ITGA4"", ""RIPOR2"", ""SLAMF1"", ""ICOS"", ""CD47"", ""JAK1"", ""GATA3"", ""TIGIT"", ""SIRPG"", ""ITGA1"", ""ADAM19"", ""TNFSF14"", ""SEMA4D"", ""CCL5"", ""AKNA"", ""ITGAL"", ""CD28"", ""PRKCZ"", ""YES1"", ""ICAM2"", ""IRF1"", ""CLSTN3"", ""PTPN22"", ""ADA"", ""BLK"", ""HLA-E"", ""ITGB1"", ""LEF1"", ""JAML"", ""GLMN"", ""CD44"", ""MYH9"", ""SOX12"", ""AMIGO2"", ""OBSCN"", ""RASAL3"", ""BCL2"", 
""SELL"", ""TSPAN32"", ""DLG1"", ""CRTAM"", ""METAP1"", ""XG"", ""ANXA9"", ""PIK3CG"", ""CEACAM6"", ""CD70"", ""LAX1"", ""WNK1"", ""DSG3"", ""FAT2"", ""TRIM29"", ""SPN"", ""UMOD"", ""NECTIN1"", ""RC3H2"", ""STAT5B"", ""KIFAP3"", ""PODXL2"", ""COL13A1"", ""NDFIP1"", ""FBLIM1"", ""NECTIN3"", ""WNT7B"", ""SCRIB"", ""CCL28"", ""TMEM131L"", ""TMIGD2"", ""ITGA6"", ""DNAJA3"", ""NOTCH4"", ""PTPRR"", ""CAV1"", ""SRPX2"", ""ADORA2A"", ""NINJ2"", ""CDHR1"", ""CELSR2"", ""MYB"", ""SOX13"", ""DENND6A"", ""TNF"", ""CLDN1"", ""MAG"", ""B2M"", ""DLG3"", ""NTNG2"", ""CLSTN2"", ""IGDCC3"", ""RET"", ""MDGA1"")"
"2","2","","Adhesion","GOBP_LEUKOCYTE_CELL_CELL_ADHESION","GO:0007159","The attachment of a leukocyte to another cell via adhesion molecules. [GOC:go_curators]","5.30115673156151e-16","3.14069440178058e-13","1.02766987054358","0.466302259194929","1.98500803637251","297","c(""CBLB"", ""ETS1"", ""FYN"", ""SKAP1"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""RIPOR2"", ""SLAMF1"", ""ICOS"", ""CD47"", ""GATA3"", ""TIGIT"", ""SIRPG"", ""TNFSF14"", ""SEMA4D"", ""CCL5"", ""ITGAL"", ""CD28"", ""PRKCZ"", ""YES1"", ""IRF1"", ""PTPN22"", ""ADA"", ""HLA-E"", ""ITGB1"", ""LEF1"", ""GLMN"", ""CD44"", ""SOX12"", ""RASAL3"", ""SELL"", ""DLG1"", ""CRTAM"", ""CD70"", ""LAX1"", ""WNK1"", ""SPN"", ""UMOD"", ""RC3H2"", ""STAT5B"", ""PODXL2"", ""NDFIP1"", ""SCRIB"", ""CCL28"", ""TMEM131L"", 
""TMIGD2"", ""DNAJA3"")"
"3","3","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_ADHESION","GO:0045785","Any process that activates or increases the frequency, rate or extent of cell adhesion. [GOC:go_curators]","2.77914697715617e-12","8.62461945244131e-10","0.898671232061694","0.411832875003767","1.764496914498","356","c(""ETS1"", ""FYN"", ""SKAP1"", ""ANK3"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""STK4"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""SPOCK2"", ""ITGA4"", ""SLAMF1"", ""ICOS"", ""CD47"", ""JAK1"", ""GATA3"", ""SIRPG"", ""ADAM19"", ""TNFSF14"", ""CCL5"", ""CD28"", ""PRKCZ"", ""YES1"", ""NEDD9"", ""PTPN22"", ""ADA"", ""HLA-E"", ""LEF1"", ""CSF1"", ""CD44"", ""PPP3CA"", ""SOX12"", ""FOXC2"", ""RASAL3"")"
"4","4","","Adhesion","GOBP_POSITIVE_REGULATION_OF_CELL_CELL_ADHESION","GO:0022409","Any process that activates or increases the rate or extent of cell adhesion to another cell. [GOC:isa_complete]","7.79294840011331e-17","7.25523496050549e-14","1.05746357275086","0.501985229542781","2.11270326061218","231","c(""ETS1"", ""FYN"", ""SKAP1"", ""ANK3"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""SLAMF1"", ""ICOS"", ""CD47"", ""JAK1"", ""GATA3"", ""SIRPG"", ""ADAM19"", ""TNFSF14"", ""CCL5"", ""CD28"", ""PRKCZ"", ""YES1"", ""PTPN22"", ""ADA"", ""HLA-E"", ""LEF1"", ""CD44"", ""SOX12"", ""RASAL3"", ""CEACAM6"", ""CD70"")"
"5","5","","Adhesion","GOBP_POSITIVE_REGULATION_OF_LEUKOCYTE_CELL_CELL_ADHESION","GO:1903039","Any process that activates or increases the frequency, rate or extent of leukocyte cell-cell adhesion. [GO_REF:0000058, GOC:BHF, GOC:rl, GOC:TermGenie, PMID:21106532]","7.03472336522243e-17","7.25523496050549e-14","1.05746357275086","0.528957828259198","2.20826409927416","195","c(""ETS1"", ""FYN"", ""SKAP1"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""SLAMF1"", ""ICOS"", ""CD47"", ""GATA3"", ""SIRPG"", ""TNFSF14"", ""CCL5"", ""CD28"", ""PRKCZ"", ""YES1"", ""PTPN22"", ""ADA"", ""HLA-E"", ""LEF1"", ""CD44"", ""SOX12"", ""RASAL3"")"
"6","6","","Adhesion","GOBP_REGULATION_OF_CELL_ADHESION","GO:0030155","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell or to the extracellular matrix. [GOC:mah]","4.61757514572697e-08","7.33969200602504e-06","0.719512826338911","0.335481994771467","1.46660751327606","608","c(""CBLB"", ""ETS1"", ""FYN"", ""SKAP1"", ""ANK3"", ""CASK"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""STK4"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""CYTIP"", ""ZAP70"", ""SPOCK2"", ""ITGA4"", ""RIPOR2"", ""SLAMF1"", ""ICOS"", ""CD47"", ""JAK1"", ""GATA3"", ""TIGIT"", ""SIRPG"", ""ADAM19"", ""TNFSF14"", ""SEMA4D"", ""CCL5"", ""AKNA"", ""CD28"", ""CXCR4"", ""PDE3B"", ""PRKCZ"", ""YES1"", ""NEDD9"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""HLA-E"", ""LEF1"", ""GLMN"", ""CSF1"", ""CD44"", ""PPP3CA"", ""SOX12"", ""FOXC2"", ""RASAL3"", ""BCL2"", ""LPXN"", ""BCAS3"", 
""DLG1"", ""CRTAM"", ""PIK3CG"", ""CEACAM6"", ""CD70"", ""LAX1"", ""WNK1"")"
"7","7","","Adhesion","GOBP_REGULATION_OF_CELL_CELL_ADHESION","GO:0022407","Any process that modulates the frequency, rate or extent of attachment of a cell to another cell. [GOC:isa_complete]","6.73259420819285e-13","2.19381582273964e-10","0.921426003494898","0.422949362789943","1.81285280505677","359","c(""CBLB"", ""ETS1"", ""FYN"", ""SKAP1"", ""ANK3"", ""RHOH"", ""RASGRP1"", ""DPP4"", ""KLRK1"", ""RUNX3"", ""IL7R"", ""CD6"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""RIPOR2"", ""SLAMF1"", ""ICOS"", ""CD47"", ""JAK1"", ""GATA3"", ""TIGIT"", ""SIRPG"", ""ADAM19"", ""TNFSF14"", ""CCL5"", ""AKNA"", ""CD28"", ""PRKCZ"", ""YES1"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""HLA-E"", ""LEF1"", ""GLMN"", ""CD44"", ""SOX12"", ""RASAL3"", ""DLG1"", ""CRTAM"", ""CEACAM6"", ""CD70"", ""LAX1"", ""WNK1"")"
"8","96","","Development (Cell cycle)","GOBP_LEUKOCYTE_PROLIFERATION","GO:0070661","The expansion of a leukocyte population by cell division. [GOC:add]","5.9174451804271e-07","7.87020208996805e-05","0.659444398037935","0.39026550797691","1.65134877406052","247","c(""CBLB"", ""FYN"", ""RASGRP1"", ""IKZF3"", ""IL7R"", ""CD6"", ""PTPRC"", ""PRKCQ"", ""CARD11"", ""ZAP70"", ""SLAMF1"", ""BTN3A1"", ""CCND3"", ""TNFSF14"", ""CCL5"", ""CD28"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""HLA-E"", ""LEF1"", ""GLMN"", ""CSF1"", ""TNFSF8"", ""MAPK1"", ""RASAL3"", ""BCL2"", ""DLG1"", ""CRTAM"", ""PIK3CG"", ""CD70"", ""SOS1"", ""SPN"", ""RC3H2"", ""TNFRSF13B"", ""STAT5B"", ""NDFIP1"", ""SCRIB"", ""RIPK3"", ""TMEM131L"", ""TMIGD2"", ""DNAJA3"")"
"9","113","","Development (Differentiation)","GOBP_IMMUNE_SYSTEM_DEVELOPMENT","GO:0002520","The process whose specific outcome is the progression of an organismal system whose objective is to provide calibrated responses by an organism to a potential internal or invasive threat, over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process. [GOC:add, GOC:dph]","3.57406806170517e-08","5.97235937388015e-06","0.719512826338911","0.325293412789053","1.43155417208634","759","c(""CBLB"", ""ETS1"", ""BCL11B"", ""THEMIS"", ""ITK"", ""CAMK4"", ""TOX"", ""SLAMF6"", ""CD2"", ""RHOH"", ""RASGRP1"", ""IKZF3"", ""RUNX3"", ""IL7R"", ""STK4"", ""PTPRC"", ""LCK"", ""CARD11"", ""TESPA1"", ""MLLT3"", ""ZAP70"", ""GPR171"", ""PIP4K2A"", ""ITGA4"", ""LY9"", ""ZEB1"", ""SLAMF1"", ""CD8A"", ""ICOS"", ""GATA3"", ""PIK3CD"", ""CASP8"", ""ITM2A"", ""TCF7"", ""BATF"", ""CD28"", ""PRKCZ"", ""IKZF1"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""CRACR2A"", ""HLA-E"", ""ITGB1"", ""SNRK"", ""LEF1"", ""CSF1"", ""DHX36"", ""MYH9"", ""FBXW7"", ""IRF4"", ""TNFSF8"", ""IL18R1"", ""LYAR"", ""SOX12"", ""MAPK1"", ""PBXIP1"", 
""BCL2"", ""CNN2"", ""NTRK1"", ""ZFPM1"", ""SFXN1"", ""FLT4"", ""RTKN2"", ""CRTAM"", ""UNG"", ""HLA-B"", ""TIPARP"", ""EVI2B"", ""BCR"", ""KLF13"", ""L3MBTL3"", ""SIRT1"", ""FLT3LG"", ""IL31RA"", ""SOS1"", ""RARG"", ""HOXB3"", ""ACP6"", ""HMCES"", ""SPN"", ""XKR8"", ""NBEAL2"", ""SOD1"", ""PLA2G10"", ""SLC25A38"", ""RC3H2"", ""TNFRSF13B"", ""TPD52"")"
"10","114","","Development (Differentiation)","GOBP_LEUKOCYTE_DIFFERENTIATION","GO:0002521","The process in which a relatively unspecialized hemopoietic precursor cell acquires the specialized features of a leukocyte. A leukocyte is an achromatic cell of the myeloid or lymphoid lineages capable of ameboid movement, found in blood or other tissue. [CL:0000738, GOC:add, PMID:16551264]","1.55105887405663e-09","3.26072602652486e-07","0.788186810800237","0.374416800559043","1.6162524790015","434","c(""BCL11B"", ""THEMIS"", ""ITK"", ""CAMK4"", ""TOX"", ""SLAMF6"", ""CD2"", ""RHOH"", ""RASGRP1"", ""IKZF3"", ""RUNX3"", ""IL7R"", ""PTPRC"", ""LCK"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""LY9"", ""ZEB1"", ""SLAMF1"", ""CD8A"", ""GATA3"", ""PIK3CD"", ""CASP8"", ""ITM2A"", ""TCF7"", ""BATF"", ""CD28"", ""PRKCZ"", ""IKZF1"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""CRACR2A"", ""ITGB1"", ""LEF1"", ""CSF1"", ""MYH9"", ""FBXW7"", ""IRF4"", ""TNFSF8"", ""IL18R1"", ""SOX12"", ""BCL2"", ""NTRK1"", ""ZFPM1"", ""CRTAM"", ""HLA-B"", ""EVI2B"", ""L3MBTL3"", ""SIRT1"", ""IL31RA"", ""SOS1"", ""SPN"", ""SOD1"", 
""RC3H2"", ""TPD52"", ""STAT5B"")"
"11","115","","Development (Differentiation)","GOBP_MONONUCLEAR_CELL_DIFFERENTIATION","GO:1903131","The process in which a relatively unspecialized cell acquires the specialized features of a mononuclear cell. [CL:0000842, GO_REF:0000086, GOC:TermGenie, PMID:24759906]","1.17485588581428e-13","4.50384459285393e-11","0.943632225232838","0.432174825229897","1.84899161053742","338","c(""BCL11B"", ""THEMIS"", ""ITK"", ""CAMK4"", ""TOX"", ""SLAMF6"", ""CD2"", ""RHOH"", ""RASGRP1"", ""IKZF3"", ""RUNX3"", ""IL7R"", ""PTPRC"", ""LCK"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ITGA4"", ""LY9"", ""ZEB1"", ""SLAMF1"", ""CD8A"", ""GATA3"", ""PIK3CD"", ""ITM2A"", ""TCF7"", ""BATF"", ""CD28"", ""PRKCZ"", ""IKZF1"", ""IRF1"", ""PTPN22"", ""ADA"", ""BLK"", ""CRACR2A"", ""ITGB1"", ""LEF1"", ""CSF1"", ""MYH9"", ""IRF4"", ""TNFSF8"", ""IL18R1"", ""SOX12"", ""BCL2"", ""NTRK1"", ""ZFPM1"", ""CRTAM"", ""HLA-B"", ""IL31RA"", ""SOS1"", ""SPN"", ""SOD1"", ""RC3H2"", ""TPD52"", ""STAT5B"")"
"12","129","","Development (Differentiation)","GOBP_REGULATION_OF_LEUKOCYTE_DIFFERENTIATION","GO:1902105","Any process that modulates the frequency, rate or extent of leukocyte differentiation. [GOC:add, GOC:TermGenie]","6.18698357636868e-06","0.00064000907884436","0.610526878385931","0.382248948390737","1.60810446920111","227","c(""CAMK4"", ""TOX"", ""CD2"", ""RHOH"", ""RASGRP1"", ""IKZF3"", ""RUNX3"", ""IL7R"", ""PTPRC"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""ZEB1"", ""GATA3"", ""CASP8"", ""TCF7"", ""CD28"", ""PRKCZ"", ""IRF1"", ""ADA"", ""LEF1"", ""CSF1"", ""FBXW7"", ""IRF4"", ""SOX12"", ""ZFPM1"", ""CRTAM"", ""HLA-B"", ""EVI2B"", ""SOS1"", ""SOD1"", ""RC3H2"", ""STAT5B"", ""NDFIP1"")"
"13","188","","Immune","GOBP_ADAPTIVE_IMMUNE_RESPONSE","GO:0002250","An immune response mediated by cells expressing specific receptors for antigen produced through a somatic diversification process, and allowing for an enhanced secondary response to subsequent exposures to the same antigen (immunological memory). [GO_REF:0000022, GOC:add, ISBN:0781735149]","4.53158087576129e-14","1.96882083782242e-11","0.965327754226083","0.43117279060555","1.84486371910287","341","c(""THEMIS"", ""FYN"", ""SKAP1"", ""ITK"", ""CAMK4"", ""SLAMF6"", ""TRAT1"", ""KLRK1"", ""IL7R"", ""CD6"", ""PTPRC"", ""PRKCQ"", ""ZAP70"", ""RNF125"", ""LY9"", ""SLA2"", ""ERAP2"", ""SLAMF1"", ""CD8A"", ""BTN3A1"", ""TXK"", ""CD226"", ""GATA3"", ""BTN3A2"", ""PIK3CD"", ""BACH2"", ""TAP1"", ""BATF"", ""SLAMF7"", ""CD28"", ""MCOLN2"", ""PRKCZ"", ""RFTN1"", ""IRF1"", ""ADA"", ""CD8B2"", ""BTLA"", ""CRACR2A"", ""HLA-E"", ""LEF1"", ""CD244"", ""HLA-F"", ""IRF4"", ""IL18R1"", ""KLRD1"", ""CRTAM"", ""UNG"", ""HLA-B"", ""IL21R"", ""PIK3CG"", ""CD70"", ""LAX1"", ""SIRT1"", ""PHB"", ""HMCES"", ""SPN"", ""SH2D1B"")"
"14","191","","Immune","GOBP_ACTIVATION_OF_IMMUNE_RESPONSE","GO:0002253","Any process that initiates an immune response. [GO_REF:0000022, GOC:add, ISBN:0781735149]","1.42459287973514e-14","6.63147985516709e-12","0.97599468306432","0.467878103687559","1.98165463161441","259","c(""CBLB"", ""THEMIS"", ""FYN"", ""SKAP1"", ""ITK"", ""CD247"", ""PYHIN1"", ""PRKCH"", ""TRAT1"", ""KLRK1"", ""PTPRC"", ""LCK"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""SLA2"", ""CD8A"", ""BTN3A1"", ""TXK"", ""UBASH3A"", ""CD226"", ""CD47"", ""GATA3"", ""BTN3A2"", ""PIK3CD"", ""CD28"", ""PLCG1"", ""CD8B"", ""YES1"", ""RFTN1"", ""PTPN22"", ""ADA"", ""BLK"", ""ZBP1"", ""MAPK1"", ""KLRD1"", ""BCL2"", ""LPXN"", ""PSPC1"", ""LAX1"", ""WNK1"", ""PHB"")"
"15","195","","Immune","GOBP_REGULATION_OF_IMMUNE_RESPONSE","GO:0050776","Any process that modulates the frequency, rate or extent of the immune response, the immunological reaction of an organism to an immunogenic stimulus. [GOC:ai]","1.51924256358766e-09","3.26072602652486e-07","0.788186810800237","0.34232992038166","1.50067957855209","650","c(""CBLB"", ""THEMIS"", ""FYN"", ""SKAP1"", ""ITK"", ""CD96"", ""CD247"", ""SLAMF6"", ""PYHIN1"", ""PRKCH"", ""RASGRP1"", ""TRAT1"", ""KLRK1"", ""IL7R"", ""PTPRC"", ""LCK"", ""PRKCQ"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""RNF125"", ""SLA2"", ""SLAMF1"", ""CD8A"", ""BTN3A1"", ""GBP5"", ""TXK"", ""NLRC3"", ""UBASH3A"", ""CD226"", ""MAP2K6"", ""NLRC5"", ""CD47"", ""GATA3"", ""BTN3A2"", ""PIK3CD"", ""CCL5"", ""CASP8"", ""TNIP3"", ""CD28"", ""PLCG1"", ""CD8B"", ""PRKCZ"", ""YES1"", ""RFTN1"", ""IRF1"", ""PTPN22"", ""RPS6KA3"", ""ADA"", ""CD8B2"", ""BLK"", ""BTLA"", ""HLA-E"", ""IRGM"", ""ZBP1"", ""HLA-F"", ""CYLD"", 
""IRF4"", ""IL18R1"", ""LYAR"", ""MAPK1"", ""KLRD1"", ""BCL2"", ""LPXN"", ""PSPC1"", ""CRTAM"", ""HLA-B"", ""LAX1"", ""BCR"", ""WNK1"", ""LSM14A"", ""SIRT1"", ""PHB"", ""SOS1"", ""HMCES"", ""SPN"", ""SH2D1B"", ""STAP1"")"
"16","197","","Immune","GOBP_T_CELL_PROLIFERATION","GO:0042098","The expansion of a T cell population by cell division. Follows T cell activation. [GOC:jl]","5.04467285472318e-09","9.66945088065616e-07","0.761460801445585","0.460068374302885","1.90029540295605","163","c(""CBLB"", ""FYN"", ""RASGRP1"", ""CD6"", ""PTPRC"", ""PRKCQ"", ""CARD11"", ""ZAP70"", ""SLAMF1"", ""BTN3A1"", ""CCND3"", ""TNFSF14"", ""CCL5"", ""CD28"", ""IRF1"", ""PTPN22"", ""HLA-E"", ""GLMN"", ""TNFSF8"", ""RASAL3"", ""DLG1"", ""CRTAM"", ""PIK3CG"", ""CD70"", ""SOS1"", ""SPN"", ""RC3H2"", ""STAT5B"", ""NDFIP1"", ""SCRIB"", ""RIPK3"", ""TMEM131L"", ""TMIGD2"", ""DNAJA3"")"
"17","198","","Immune","GOBP_T_CELL_DIFFERENTIATION","GO:0030217","The process in which a precursor cell type acquires characteristics of a more mature T-cell. A T cell is a type of lymphocyte whose definin characteristic is the expression of a T cell receptor complex. [GO_REF:0000022, GOC:jid, GOC:mah]","2.19513213743538e-16","1.43056761396664e-13","1.04762648849882","0.512707171756778","2.14980890002773","209","c(""BCL11B"", ""THEMIS"", ""ITK"", ""CAMK4"", ""TOX"", ""SLAMF6"", ""CD2"", ""RHOH"", ""RASGRP1"", ""RUNX3"", ""IL7R"", ""PTPRC"", ""LCK"", ""CARD11"", ""TESPA1"", ""ZAP70"", ""LY9"", ""ZEB1"", ""CD8A"", ""GATA3"", ""PIK3CD"", ""TCF7"", ""BATF"", ""CD28"", ""PRKCZ"", ""IRF1"", ""PTPN22"", ""ADA"", ""CRACR2A"", ""LEF1"", ""IRF4"", ""TNFSF8"", ""IL18R1"", ""SOX12"", ""BCL2"", ""ZFPM1"", ""CRTAM"", ""SOS1"", ""SPN"", ""SOD1"", ""RC3H2"", ""STAT5B"")"
